id,created_at,author_id,text,clean_text
1975095170430595385,2025-10-06 07:05:58+00:00,1870664779616178176,"@G0LIATH87 Kalau saja saya ASN, saya dg senang hati mengajukan diri pindah ke IKN
Udara msh bersih, wilayah tertata, gada macet, tempat alami pasti msh byk yg bisa didatangi
Sayang bukan ASN😊","asn, dg senang hati mengajukan pindah ikn udara msh bersih, wilayah tertata, gada macet, alami msh byk yg didatangi sayang asn"
1975094830729699675,2025-10-06 07:04:37+00:00,1417004714575548416,"Di episode BUMN Corner kali ini, kita akan mengajak Sobat BUMN menjelajahi salah satu proyek kebanggaan negeri: Bandar Udara Internasional Nusantara yang berlokasi di Ibu Kota Negara (IKN). 
#BUMNUntukIndonesia #BandaraNusantara https://t.co/Uf9L9m9egq","episode bumn corner kali ini, mengajak sobat bumn menjelajahi salah proyek kebanggaan negeri bandar udara internasional nusantara berlokasi kota negara ikn ."
1975094757790732751,2025-10-06 07:04:20+00:00,1735636779192233984,"@kompascom Spekulasi pertemuan Jokowi-Prabowo:
- Ijazah S1 nya &amp;  Ijazah SMA Gibran
- Nasib kabinet dari Geng Solo
- 2 periode (diharapkan Gibran Jadi Presiden &amp; Jokowi Jadi wapres saat Prabowo dinyatakan tdk sehat)
- Nasib proyeknya IKN &amp; lainnya
- korupsi Xmenterinya diduga dia terlibat",spekulasi pertemuan jokowi prabowo ijazah s1 nya amp ijazah sma gibran nasib kabinet geng solo 2 periode diharapkan gibran presiden amp jokowi wapres prabowo dinyatakan tdk sehat nasib proyeknya ikn amp korupsi xmenterinya diduga terlibat
1975089261411196947,2025-10-06 06:42:29+00:00,1835971990278307840,"Riset BRIN Ungkap Hanya 0,5% Air Tersedia di Permukaan IKN, Terancam Berebut Air Bersih   https://t.co/bem6uP2I4v","riset brin 0,5 air tersedia permukaan ikn, terancam berebut air bersih"
1975087591222575576,2025-10-06 06:35:51+00:00,1184695438365974528,"@G0LIATH87 Seindah ini bisa ada yang bilang IKN mangkrak?
Kadang mereka itu harus belajar menerima kenyataan, kalau tidak semua sesuai dengan kayalannya.","seindah bilang ikn mangkrak? kadang belajar menerima kenyataan, sesuai kayalannya."
1975086351612846359,2025-10-06 06:30:56+00:00,514876304,@w63043 @zinzang69 @ARSIPAJA Justru dengan adanya IKN masalah air di kalimantan akhirnya mendapat perhatian yg dulunya gak ada yg peduli,ikn air kalimantan perhatian yg dulunya gak yg peduli
1975085150766768207,2025-10-06 06:26:09+00:00,1100628763065217024,@idextratime Mahal doang tapi ga guna. Kayak IKN,mahal doang ga guna. kayak ikn
1975084846159630732,2025-10-06 06:24:57+00:00,475749973,"@ARSIPAJA Mba Rara diangkat jd pns ikn aja, suruh stay disana pamggilin hujan tiap hari 🥴","mba rara diangkat jd pns ikn aja, suruh stay disana pamggilin hujan"
1975082655726424089,2025-10-06 06:16:15+00:00,1501925402930909185,@KangManto123 Lagi lihatin investor IKN yang antri mengular😂😂,lihatin investor ikn antri mengular
1975081141343490345,2025-10-06 06:10:13+00:00,1810701877652410368,"Yusri: Penataan Kabel Bawah Tanah Bukti Komitmen Balikpapan Jadi Kota Penyangga IKN
https://t.co/hGCMCKdQoe",yusri penataan kabel tanah bukti komitmen balikpapan kota penyangga ikn
