id,created_at,author_id,text
1988486719751221426,2025-11-12 05:59:12+00:00,1236927039585652737,"denda Rp100 miliar. Polri menegaskan, penambangan ilegal di kawasan IKN tidak akan dibiarkan, sumber daya alam adalah aset negara yang harus dijaga. Terus Berkomitmen Tuntas Berantas Kriminal #SigapTuntaskanKasus Kejahatan https://t.co/Q8uLosHflJ"
1988484631839310001,2025-11-12 05:50:55+00:00,1846749067864625153,@ardisatriawan Kondisi jalan di kec Seko Kab Luwu Utara Propinsi SULSEL ancur2an gak ada perhatian dari pemerintah pusat dulu pernah dianggarkan tapi dicoret dialihkan ke IKN. Cc: @DPR_RI @AgusYudhoyono @KemenPU https://t.co/3NV3EKju8M
1988484593847349510,2025-11-12 05:50:46+00:00,3187717338,"@silkenhours ㅤ

Request bentuk garuda IKN ya

ㅤ"
1988482640047980566,2025-11-12 05:43:00+00:00,135795460,Kementerian ESDM mengungkap ada temuan aktivitas pembukaan tambang ilegal yang baru di sekitar kawasan Ibu Kota Nusantara (IKN). Seperti apa? https://t.co/ZccwSrNdLA
1988482277496750427,2025-11-12 05:41:33+00:00,1738077678950035456,"Selamanya Kami menolak keras pembangunan IKN. Semula dikatakan tidak pakai APBN. Faktanya pakai APBN. Kita ditipu terus. 

https://t.co/Vujcv5GjHb"
1988482267757637721,2025-11-12 05:41:31+00:00,1866642235,"Dukung IKN, Dukung Ekonomi Indonesia! IKN siap menjadi pusat ekonomi baru yang dinamis, dengan investasi swasta mencapai Rp6,49 triliun. Mari dukung pembangunan IKN untuk Indonesia yang lebih maju!

#IKN #IndonesiaSemakinMaju #KotaHijau https://t.co/qGaDzAwJNG"
1988481744056561730,2025-11-12 05:39:26+00:00,1927397092013510656,Aduh ikn udin petotttt tp gaada lawannnn
1988481679993041073,2025-11-12 05:39:11+00:00,437307829,"@HerryMwatson @sharpandshark Gbhn sistem terbaik buat negara kita, daripada mengandalkan rpjmn rpjmd rpjmdes. Tiap ganti pemimpin ganti kebijakan. Ga ada keberlanjutan dan transaksional. Andai ada gbhn, maka IKN dan wossh ga akan ada. Ga akan ada pembangunan negara yg sia sia dan asal asalan."
1988481662393741539,2025-11-12 05:39:07+00:00,1462135745326436354,@JackVardan IKN itukan memang proyek Taipan dan Beijing
1988481333795188796,2025-11-12 05:37:48+00:00,1257549338844123136,"dam adalah aset negara yang harus dijaga. Terus Berkomitmen Tuntas Berantas Kriminal #SigapTuntaskanKasus Kejahatanan denda Rp100 miliar. Polri menegaskan, penambangan ilegal di kawasan IKN tidak akan dibiarkan, sumber daya al"
1988481030924488947,2025-11-12 05:36:36+00:00,818341300797722624,"Polri menegaskan, penambangan ilegal di kawasan IKN tidak akan dibiarkan, sumber daya alam adalah aset negara yang harus dijaga. Terus Berkomitmen Tuntas Berantas Kriminal #SigapTuntaskanKasus Kejahatan"
1988480469693067709,2025-11-12 05:34:22+00:00,1590218330803093505,"penjara dan denda Rp100 miliar. Polri menegaskan, penambangan ilegal di kawasan IKN tidak akan dibiarkan, sumber daya alam adalah aset negara yang harus dijaga. Terus Berkomitmen Tuntas Berantas Kriminal #SigapTuntaskanKasus Kejahatan"
1988480325090267261,2025-11-12 05:33:48+00:00,1410966043,@kompascom IKN akan mjd sia-sia krn presiden yg skrg kayanya ogah pindah ke IKN...
1988480265232982404,2025-11-12 05:33:34+00:00,1568045311368765441,"Tersangka dijerat UU Minerba dengan ancaman lima tahun penjara dan denda Rp100 miliar. Polri menegaskan, penambangan ilegal di kawasan IKN tidak akan dibiarkan, sumber daya alam adalah aset negara yang harus dijaga."
1988478496042344497,2025-11-12 05:26:32+00:00,2911375412,"Rifqi menegaskan, IKN bukan sekadar proyek fisik, tapi simbol transformasi birokrasi nasional.
“Pembangunan IKN harus membentuk budaya pemerintahan baru yang modern, inklusif, dan berintegritas.”
#DPRRI #IKNNusantara #RajaMedia"
